City,State,CBSA code,2001,2002,2003,2004,2005,2006,2007,2008 millions,2009 millions,2010 millions,2011 millions,2012 millions,2013 millions,2009 percent change,2010 percent change,2011 percent change,2012 percent change,2013 percent change,percent change rank 2013
Chicago-Naperville-Elgin,IL-IN-WI,16980,419099,426071,438678,461970,486022,514160,534809,537687,518897,527820,533329,543886,550793,-3.5,1.7,1,2,1.3,201
Chico,CA,17020,4344,4736,5005,5344,5708,5899,6148,6219,6131,6135,5995,6008,6247,-1.4,0.1,-2.3,0.2,4,55
Cincinnati,OH-KY-IN,17140,79973,82878,86065,89950,94980,97697,100929,104745,100626,103388,105251,108972,111279,-3.9,2.7,1.8,3.5,2.1,147
Clarksville,TN-KY,17300,5432,5717,6378,6808,7722,8282,8532,9145,9275,9608,10122,10173,9893,1.4,3.6,5.4,0.5,-2.7,370
Cleveland,TN,17420,2745,2871,2955,3102,3130,3211,3188,3412,3255,3269,3406,3641,3642,-4.6,0.5,4.2,6.9,0,292
Cleveland-Elyria,OH,17460,88068,91035,94704,99642,103357,106011,108007,111357,105035,108304,110772,113827,114448,-5.7,3.1,2.3,2.8,0.5,253
Coeur d'Alene,ID,17660,2607,2743,2999,3291,3686,4066,4380,4463,4253,4198,4180,4086,4223,-4.7,-1.3,-0.4,-2.3,3.4,75
College Station-Bryan,TX,17780,4301,4215,4621,4939,5327,5765,6083,6505,6982,7163,7151,7447,7672,7.3,2.6,-0.2,4.1,3,93
Colorado Springs,CO,17820,19050,19230,20383,21280,22931,23696,24606,24814,24865,25875,26301,26755,26710,0.2,4.1,1.6,1.7,-0.2,304
Columbia,MO,17860,4692,4598,5068,5379,5717,6065,6283,6516,6538,6740,6816,7012,7122,0.3,3.1,1.1,2.9,1.6,182
Columbia,SC,17900,22281,22947,24276,25901,27310,29296,30735,32261,31492,31410,32024,32541,33199,-2.4,-0.3,2,1.6,2,152
Columbus,GA-AL,17980,8528,8472,8926,9321,9911,10420,11042,11286,11605,11972,12112,12167,12108,2.8,3.2,1.2,0.5,-0.5,317
Columbus,IN,18020,3103,3042,3127,3418,3550,3856,4146,4588,3809,4377,4554,4999,4932,-17,14.9,4,9.8,-1.3,349
Columbus,OH,18140,74452,78138,80686,84380,88405,91303,93748,96097,92924,96021,98906,103742,107191,-3.3,3.3,3,4.9,3.3,79
Corpus Christi,TX,18580,11173,11429,12584,14246,14941,16371,18193,16801,17418,17792,17868,19219,20439,3.7,2.1,0.4,7.6,6.3,20
Corvallis,OR,18700,2731,3100,3450,4050,3975,4473,4595,4990,5166,5381,5244,5246,5231,3.5,4.1,-2.5,0,-0.3,311
Crestview-Fort Walton Beach-Destin,FL,18880,6815,8594,9269,10039,11702,12453,12571,11884,11454,10812,11132,11556,11462,-3.6,-5.6,3,3.8,-0.8,328
Cumberland,MD-WV,19060,1947,2044,2106,2164,2298,2419,2439,2598,2664,2760,2751,2738,2706,2.5,3.6,-0.3,-0.5,-1.2,342
Dallas-Fort Worth-Arlington,TX,19100,255913,266329,273951,294104,316261,342163,359489,366320,355667,368015,383369,405081,413627,-2.9,3.5,4.2,5.7,2.1,148
Dalton,GA,19140,4461,4627,4647,5318,5657,5761,5939,5714,5274,4888,4976,5098,5147,-7.7,-7.3,1.8,2.4,1,219
Danville,IL,19180,1954,1983,2142,2253,2284,2422,2387,2506,2453,2505,2495,2521,2495,-2.1,2.1,-0.4,1,-1,338
